--------------------------------------------------------------------------------
Marvellous Indosystems Fri Jan 20 23:44:35 2023
--------------------------------------------------------------------------------

{'pid': 1480, 'username': 'MSI\\Onkar Ople', 'name': 'chrome.exe', 'vms': 233.11328125}
{'pid': 1860, 'username': 'MSI\\Onkar Ople', 'name': 'svchost.exe', 'vms': 9.96875}
{'pid': 1924, 'username': 'MSI\\Onkar Ople', 'name': 'Code.exe', 'vms': 50.484375}
{'pid': 2556, 'username': 'MSI\\Onkar Ople', 'name': 'ONLINENT.EXE', 'vms': 7.11328125}
{'pid': 2740, 'username': 'MSI\\Onkar Ople', 'name': 'NVIDIA Share.exe', 'vms': 63.80078125}
{'pid': 3224, 'username': 'MSI\\Onkar Ople', 'name': 'SecurityHealthSystray.exe', 'vms': 2.04296875}
{'pid': 3528, 'username': 'MSI\\Onkar Ople', 'name': 'igfxEM.exe', 'vms': 7.63671875}
{'pid': 3716, 'username': 'MSI\\Onkar Ople', 'name': 'msedge.exe', 'vms': 49.796875}
{'pid': 3740, 'username': 'MSI\\Onkar Ople', 'name': 'Code.exe', 'vms': 653.87890625}
{'pid': 3748, 'username': 'MSI\\Onkar Ople', 'name': 'dllhost.exe', 'vms': 6.49609375}
{'pid': 3852, 'username': 'MSI\\Onkar Ople', 'name': 'chrome.exe', 'vms': 2.47265625}
{'pid': 3884, 'username': 'MSI\\Onkar Ople', 'name': 'chrome.exe', 'vms': 35.9609375}
{'pid': 3932, 'username': 'MSI\\Onkar Ople', 'name': 'chrome.exe', 'vms': 18.25390625}
{'pid': 4036, 'username': 'MSI\\Onkar Ople', 'name': 'svchost.exe', 'vms': 7.2265625}
{'pid': 4104, 'username': 'MSI\\Onkar Ople', 'name': 'chrome.exe', 'vms': 7.859375}
{'pid': 4156, 'username': 'MSI\\Onkar Ople', 'name': 'chrome.exe', 'vms': 143.5390625}
{'pid': 4264, 'username': 'MSI\\Onkar Ople', 'name': 'svchost.exe', 'vms': 7.6796875}
{'pid': 4324, 'username': 'MSI\\Onkar Ople', 'name': 'RuntimeBroker.exe', 'vms': 3.9609375}
{'pid': 5512, 'username': 'MSI\\Onkar Ople', 'name': 'Code.exe', 'vms': 12.71875}
{'pid': 5544, 'username': 'MSI\\Onkar Ople', 'name': 'Code.exe', 'vms': 82.8828125}
{'pid': 5796, 'username': 'MSI\\Onkar Ople', 'name': 'conhost.exe', 'vms': 5.421875}
{'pid': 5936, 'username': 'MSI\\Onkar Ople', 'name': 'nvcontainer.exe', 'vms': 7.75}
{'pid': 6292, 'username': 'MSI\\Onkar Ople', 'name': 'svchost.exe', 'vms': 4.44140625}
{'pid': 6372, 'username': 'MSI\\Onkar Ople', 'name': 'RuntimeBroker.exe', 'vms': 9.0390625}
{'pid': 6512, 'username': 'MSI\\Onkar Ople', 'name': 'Code.exe', 'vms': 39.8984375}
{'pid': 7084, 'username': 'MSI\\Onkar Ople', 'name': 'chrome.exe', 'vms': 402.62890625}
{'pid': 7324, 'username': 'MSI\\Onkar Ople', 'name': 'GameBarFTServer.exe', 'vms': 3.23046875}
{'pid': 8116, 'username': 'MSI\\Onkar Ople', 'name': 'cpptools.exe', 'vms': 20.71875}
{'pid': 8200, 'username': 'MSI\\Onkar Ople', 'name': 'RuntimeBroker.exe', 'vms': 1.4375}
{'pid': 8468, 'username': 'MSI\\Onkar Ople', 'name': 'svchost.exe', 'vms': 5.515625}
{'pid': 8476, 'username': 'MSI\\Onkar Ople', 'name': 'Nahimic3.exe', 'vms': 20.265625}
{'pid': 8992, 'username': 'MSI\\Onkar Ople', 'name': 'nvcontainer.exe', 'vms': 33.6015625}
{'pid': 9260, 'username': 'MSI\\Onkar Ople', 'name': 'python.exe', 'vms': 24.71484375}
{'pid': 9280, 'username': 'MSI\\Onkar Ople', 'name': 'NVIDIA Web Helper.exe', 'vms': 34.9765625}
{'pid': 9408, 'username': 'MSI\\Onkar Ople', 'name': 'taskhostw.exe', 'vms': 2.98046875}
{'pid': 9436, 'username': 'MSI\\Onkar Ople', 'name': 'IGCC.exe', 'vms': 14.67578125}
{'pid': 9612, 'username': 'MSI\\Onkar Ople', 'name': 'RtkUWP.exe', 'vms': 10.37109375}
{'pid': 9628, 'username': 'MSI\\Onkar Ople', 'name': 'RuntimeBroker.exe', 'vms': 9.91796875}
{'pid': 9660, 'username': 'MSI\\Onkar Ople', 'name': 'svchost.exe', 'vms': 2.6875}
{'pid': 9676, 'username': 'MSI\\Onkar Ople', 'name': 'NVIDIA Share.exe', 'vms': 19.65625}
{'pid': 9948, 'username': 'MSI\\Onkar Ople', 'name': 'Code.exe', 'vms': 140.9453125}
{'pid': 10108, 'username': 'MSI\\Onkar Ople', 'name': 'sihost.exe', 'vms': 6.703125}
{'pid': 10440, 'username': 'MSI\\Onkar Ople', 'name': 'Amazon Music Helper.exe', 'vms': 2.05859375}
{'pid': 10544, 'username': 'MSI\\Onkar Ople', 'name': 'utweb.exe', 'vms': 34.7890625}
{'pid': 10568, 'username': 'MSI\\Onkar Ople', 'name': 'chrome.exe', 'vms': 17.171875}
{'pid': 10632, 'username': 'MSI\\Onkar Ople', 'name': 'explorer.exe', 'vms': 95.59765625}
{'pid': 10684, 'username': 'MSI\\Onkar Ople', 'name': 'chrome.exe', 'vms': 20.4375}
{'pid': 11136, 'username': 'MSI\\Onkar Ople', 'name': 'svchost.exe', 'vms': 7.70703125}
{'pid': 11480, 'username': 'MSI\\Onkar Ople', 'name': 'NVIDIA Share.exe', 'vms': 32.13671875}
